,Unnamed: 0,Município,Total Investido,IDEB - 4 e 5,IDEB - 8 e 9,Matriculas,Investimento por matricula
0,0,SAO DOMINGOS DO CARIRI,1885269.080000001,6.2,4,325,5800.827938461542
1,1,COXIXOLA,892830.6400000005,7.1,,134,6662.915223880601
2,2,PASSAGEM,2754854.19,5.1,3.5,357,7716.678403361344
3,3,CARAUBAS,3216722.4499999993,5.1,3.8,501,6420.603692614769
4,4,OLHO DAGUA,5771901.89,5,3.2,758,7614.646292875989
5,5,SAO JOSE DOS CORDEIROS,2391563.1199999982,5.2,,207,11553.44502415458
6,6,AMPARO,2237620.140000001,5.3,4.3,396,5650.555909090912
7,7,PARARI,1155912.4999999993,4.3,,134,8626.21268656716
8,8,VISTA SERRANA,2392942.720000002,**,,386,6199.333471502596
9,9,MATO GROSSO,1799412.2500000002,4.9,4,313,5748.920926517572
10,10,QUIXABA,1995241.44,5.4,3.8,260,7674.005538461538
11,11,CACIMBA DE AREIA,2508336.08,4.7,4.2,485,5171.826969072165
12,12,VARZEA,2246561.03,6.6,5.5,318,7064.657327044025
13,13,AREIA DE BARAUNAS,2062330.7599999998,**,3.7,271,7610.076605166051
14,14,SANTO ANDRE,2744336.04,4.5,3.7,367,7477.754877384196
15,15,EMAS,2991205.9999999995,4,4,401,7459.366583541146
16,16,FREI MARTINHO,2109804.6700000013,5.5,3.9,344,6133.15311046512
17,17,ZABELE,2480584.200000001,5,4.5,365,6796.121095890414
18,18,RIACHO DE SANTO ANTONIO,2587827.4699999983,3.9,3.5,363,7129.001294765836
19,19,SANTA INES,2718322.230000001,4.4,3.1,419,6487.6425536992865
20,20,SERRARIA,2910206.39,4,**,444,6554.5188963963965
21,21,SOSSEGO,2722738.28,4.6,4.1,510,5338.702509803921
22,22,SAO JOSE DO BONFIM,3143937.140000002,4.1,4.3,546,5758.126630036633
23,23,MAE DAGUA,3081059.64,4,4,563,5472.574849023091
24,24,PRATA,2980553.229999998,6,**,488,6107.691045081963
25,25,PEDRA BRANCA,3834290.93,4.7,4.2,456,8408.532741228071
26,26,GURJAO,2782028.740000001,5.6,3.4,432,6439.8813425925955
27,27,VIEIROPOLIS,3220220.259999998,5.6,5,511,6301.800900195691
28,28,LAGOA,3017709.430000001,4.7,**,468,6448.097072649575
29,29,SAO JOSE DE PRINCESA,2178999.79,**,,271,8040.58963099631
30,30,SAO BENTINHO,3269502.29,5.5,4.3,469,6971.220234541578
31,31,CARRAPATEIRA,2764953.9699999983,5.5,4.4,370,7472.848567567563
32,32,NOVA PALMEIRA,2886619.0400000005,5.8,4.7,449,6428.9956347438765
33,33,SANTA TERESINHA,3272850.51,5.2,3.9,487,6720.432258726899
34,34,CURRAL VELHO,2290159.04,4.7,3.2,261,8774.55570881226
35,35,LASTRO,3339843.6100000017,4.2,3.7,477,7001.768574423484
36,36,SAO JOSE DO BREJO DO CRUZ,2668023.559999998,5.1,3.8,315,8469.916063492057
37,37,SERRA REDONDA,4064133.9100000006,3.6,3.1,688,5907.171380813955
38,38,SAO DOMINGOS,2945807.18,4.4,3.9,424,6947.658443396227
39,39,SANTANA DE MANGUEIRA,4734126.3900000015,4.9,4.5,760,6229.113671052633
40,40,OURO VELHO,2119578.450000001,4.7,3.4,376,5637.176728723407
41,41,CATURITE,3838303.49,4.8,4.1,620,6190.812080645162
42,42,SERRA GRANDE,2910126.9000000013,6,5,495,5879.044242424245
43,43,SAO JOSE DE ESPINHARAS,3048199.170000001,3.6,3.5,453,6728.916490066227
44,44,BOM SUCESSO,2870912.6,4.9,3.9,455,6309.698021978023
45,45,MATINHAS,3826630.739999999,4.2,3.3,581,6586.283545611013
46,46,BOM JESUS,3425908.47,4.2,4,493,6949.104401622719
47,47,BORBOREMA,4378296.3999999985,3.7,3.1,690,6345.357101449274
48,48,TENORIO,3308807.1300000013,4.3,3.5,555,5961.814648648651
49,49,ALGODAO DE JANDAIRA,3782184.2500000014,4.6,3.2,521,7259.470729366605
50,50,SALGADINHO,3335578.9,4.4,3.6,547,6097.9504570383915
51,51,APARECIDA,5220672.840000002,4.4,4,861,6063.499233449479
52,52,JUNCO DO SERIDO,3801705.719999999,4.4,4,750,5068.940959999998
53,53,NATUBA,10595059.830000004,4.4,3.1,1105,9588.289438914031
54,54,CAJAZEIRINHAS,3599611.539999998,5.3,4.4,493,7301.443286004053
55,55,LOGRADOURO,4313083.570000001,4.6,4.3,523,8246.813709369027
56,56,BARAUNA,4585139.95,5.3,4.8,751,6105.3794274300935
57,57,CONDADO,5299405.4700000025,4.5,3.3,780,6794.109576923081
58,58,MONTADAS,5254127.770000001,5.8,3.9,903,5818.52466223699
59,59,PILOEZINHOS,3893849.0899999994,3.9,2.6,613,6352.119233278955
60,60,IGARACY,4569387.139999997,4.4,3.3,742,6158.203692722368
61,61,BREJO DOS SANTOS,4424321.060000001,4.3,3.6,410,10791.02697560976
62,62,SERRA DA RAIZ,3821938.54,4.1,3.7,249,15349.150763052208
63,63,DUAS ESTRADAS,4234929.4,4.1,4.1,418,10131.41004784689
64,64,OLIVEDOS,3370648.6500000013,5.3,4.8,511,6596.181311154602
65,65,SAO JOSE DO SABUGI,3788403.009999997,5.5,4.5,465,8147.103247311821
66,66,IBIARA,4008197.1400000006,4.9,3.6,441,9088.882403628118
67,67,SAO MIGUEL DE TAIPU,5957944.159999997,3.5,2.9,733,8128.163929058659
