,Município,Total Investido,IDEB - 4 e 5,IDEB - 8 e 9,Matriculas,Investimento por matricula
0,ALAGOA GRANDE,21006649.290000014,4.6,3.5,2826,7433.350774946926
0,ALAGOA NOVA,14010723.209999992,4.4,2.5,1848,7581.560178571424
0,ALCANTIL,4755114.3100000005,5,4,727,6540.734951856947
0,ALGODAO DE JANDAIRA,3782184.250000002,4.6,3.2,521,7259.470729366605
0,AREIA,13660337.239999995,4.2,**,1967,6944.7571123538355
0,AREIAL,6691295.899999998,5.3,3.1,1140,5869.557807017542
0,AROEIRAS,15847234.170000002,3.8,2.9,2279,6953.591123299693
0,ASSUNCAO,1991497.01,4.7,3.7,647,3078.0479289026275
0,BARRA DE SANTANA,8082492.28,5.4,3.3,1234,6549.83166936791
0,BARRA DE SAO MIGUEL,6333203.060000002,4.9,4.1,739,8569.963545331533
0,BOA VISTA,7071279.55,5.9,4.1,1022,6919.060225048925
0,BOQUEIRAO,13691791.359999988,4.8,4.1,1818,7531.2383718371775
0,CABACEIRAS,4462589.419999996,6.4,5.5,648,6886.71206790123
0,CAMPINA GRANDE,140699656.86000007,5.2,3.8,19034,7392.017277503419
0,CARAUBAS,3216722.4499999993,5.1,3.8,501,6420.603692614769
0,CATURITE,3838303.49,4.8,4.1,620,6190.8120806451625
0,CUBATI,8409588.600000001,4.3,4,1179,7132.81475826972
0,ESPERANCA,11605895.859999996,5.4,4.2,3663,3168.412738192737
0,FAGUNDES,11005786.200000003,3.8,3.1,1254,8776.544019138759
0,GADO BRAVO,10829313.770000007,5.5,3.3,1396,7757.388087392555
0,GURJAO,2782028.740000001,5.6,3.4,432,6439.881342592596
0,INGA,13675634.279999984,3.7,2.9,1761,7765.834344122649
0,ITATUBA,7598143.729999994,3.9,3.6,1083,7015.829852262229
0,JUAZEIRINHO,14205120.229999995,4.4,3.3,2170,6546.138354838708
0,JUNCO DO SERIDO,3801705.719999999,4.4,4,750,5068.940959999998
0,LAGOA SECA,20706518.32,4.7,3.5,2863,7232.45487949703
0,MASSARANDUBA,9962556.800000006,4.7,3.2,1510,6597.719735099342
0,MATINHAS,3826630.739999999,4.2,3.3,581,6586.283545611013
0,MONTADAS,5254127.770000001,5.8,3.9,903,5818.52466223699
0,OLIVEDOS,3370648.6500000013,5.3,4.8,511,6596.181311154602
0,POCINHOS,16683024.810000008,4.7,3.8,2815,5926.474177619896
0,PUXINANA,8318293.050000005,4.2,**,1181,7043.431879762918
0,QUEIMADAS,39225595.369999975,5.4,3.9,4544,8632.393347271121
0,REMIGIO,14526574.420000013,4.7,3.6,2154,6743.9992664809715
0,RIACHAO DO BACAMARTE,4353053.87,4.2,3.4,587,7415.764684838159
0,RIACHO DE SANTO ANTONIO,2587827.4699999983,3.9,3.5,363,7129.001294765836
0,SANTA CECILIA,7249472.13,4.3,2.8,1118,6484.322119856887
0,SANTO ANDRE,2744336.04,4.5,3.7,367,7477.754877384195
0,SAO DOMINGOS DO CARIRI,1885269.080000001,6.2,4,325,5800.827938461542
0,SAO JOAO DO CARIRI,3166976.19,3.9,4.1,437,7247.085102974828
0,SAO SEBASTIAO DE LAGOA DE ROCA,3615850.299999999,4.5,2.2,1071,3376.144070961717
0,SERRA REDONDA,4064133.9100000006,3.6,3.1,688,5907.171380813955
0,SOLEDADE,8507166.96,3.9,3.5,1310,6494.020580152674
0,TAPEROA,8212303.769999992,4.3,3.5,1013,8106.913889437307
0,TENORIO,3308807.1300000013,4.3,3.5,555,5961.814648648651
0,UMBUZEIRO,8784684.839999998,3.9,**,1164,7546.980103092782
0,BARAUNA,4585139.95,5.3,4.8,751,6105.379427430094
0,BARRA DE SANTA ROSA,11299423.41999999,5.1,4,1484,7614.166725067379
0,CUITE,11724437.350000005,5.8,3.6,1519,7718.523601053327
0,DAMIAO,5254341.289999998,4.3,3.2,808,6502.897636138611
0,FREI MARTINHO,2109804.6700000013,5.5,3.9,344,6133.153110465121
0,NOVA FLORESTA,5615051.199999998,4.4,3.4,769,7301.757087126137
0,NOVA PALMEIRA,2886619.0400000005,5.8,4.7,449,6428.9956347438765
0,PEDRA LAVRADA,7789979.320000002,5.4,4.7,929,8385.338342303554
0,PICUI,17630162.230000008,5.6,4.8,2531,6965.6903318846325
0,SOSSEGO,2722738.28,4.6,4.1,510,5338.702509803921
0,CAMALAU,6103406.840000005,4.9,4.4,1003,6085.151385842478
0,MONTEIRO,20671043.48,5.9,4.8,3304,6256.369092009685
0,OURO VELHO,2119578.450000001,4.7,3.4,376,5637.176728723407
0,PRATA,2980553.229999998,6,**,488,6107.691045081963
0,SAO JOAO DO TIGRE,4769490.63,4.5,4.4,726,6569.5463223140505
0,SAO SEBASTIAO DO UMBUZEIRO,2850078.4800000014,4.7,3.9,456,6250.17210526316
0,ZABELE,2480584.200000001,5,4.5,365,6796.121095890414
0,AMPARO,2237620.140000001,5.3,4.3,396,5650.555909090912
0,CONGO,4336217.210000002,5.3,5.1,542,8000.400756457569
0,COXIXOLA,892830.6400000005,7.1,,134,6662.915223880601
0,LIVRAMENTO,7169803.5800000075,5.3,4.4,1173,6112.364518329077
0,PARARI,1155912.4999999993,4.3,,134,8626.21268656716
0,SAO JOSE DOS CORDEIROS,2391563.1199999982,5.2,,207,11553.44502415458
0,SERRA BRANCA,6369147.369999997,4.5,3.4,1170,5443.715700854698
0,SUME,13758274.319999995,4.8,4.1,1790,7686.186770949719
