,Município,Total Investido,IDEB - 4 e 5,IDEB - 8 e 9,Matriculas,Investimento por matricula
0,AGUA BRANCA,10036795.16,6.1,5.1,1523,6590.147839789887
0,AREIA DE BARAUNAS,2062330.76,**,3.7,271,7610.076605166051
0,CACIMBA DE AREIA,2508336.08,4.7,4.2,485,5171.8269690721645
0,CACIMBAS,8561137.500000004,3.7,3.2,1585,5401.348580441642
0,CATINGUEIRA,4520255.630000001,4.3,3.3,716,6313.2061871508395
0,COREMAS,7597947.749999999,4.6,2.8,1313,5786.708111195734
0,DESTERRO,4849314.97,4.5,3.1,672,7216.2425148809525
0,EMAS,2991205.9999999995,4,4,401,7459.366583541147
0,IMACULADA,9085487.729999997,3.9,3.4,1451,6261.535306685041
0,MAE DAGUA,3081059.64,4,4,563,5472.574849023091
0,MALTA,4929860.44,5.1,5,622,7925.820643086818
0,MATUREIA,7422917.409999997,4.8,3.5,1096,6772.734863138684
0,OLHO DAGUA,5771901.89,5,3.2,758,7614.646292875988
0,PASSAGEM,2754854.19,5.1,3.5,357,7716.678403361344
0,PATOS,46388431.18000003,4.7,3.4,6817,6804.816074519587
0,QUIXABA,1995241.44,5.4,3.8,260,7674.005538461538
0,SALGADINHO,3335578.9,4.4,3.6,547,6097.950457038392
0,SANTA LUZIA,6891374.669999997,5.2,3.1,841,8194.262390011887
0,SANTA TERESINHA,3272850.51,5.2,3.9,487,6720.4322587269
0,SAO JOSE DE ESPINHARAS,3048199.1700000013,3.6,3.5,453,6728.916490066227
0,SAO JOSE DO BONFIM,3143937.140000002,4.1,4.3,546,5758.126630036633
0,SAO JOSE DO SABUGI,3788403.009999997,5.5,4.5,465,8147.103247311821
0,SAO MAMEDE,7489052.519999998,5.6,4,906,8266.062384105957
0,TEIXEIRA,14574168.7,4.7,3.7,1532,9513.16494778068
0,VARZEA,2246561.03,6.6,5.5,318,7064.657327044025
0,VISTA SERRANA,2392942.720000002,**,,386,6199.333471502597
0,AGUIAR,4500515.419999997,4.8,4,593,7589.4020573355765
0,BOA VENTURA,4070162.2999999993,4.1,3.7,575,7078.543130434781
0,CONCEICAO,6223661.670000001,5.3,3.7,1529,4070.413126226292
0,CURRAL VELHO,2290159.04,4.7,3.2,261,8774.555708812259
0,DIAMANTE,4428717.749999999,3.8,3.9,609,7272.114532019704
0,IBIARA,4008197.1400000006,4.9,3.6,441,9088.882403628118
0,IGARACY,4569387.139999997,4.4,3.3,742,6158.203692722368
0,ITAPORANGA,8444578.629999999,4.5,3.5,1208,6990.545223509933
0,NOVA OLINDA,4997920.670000004,3.9,3.2,654,7642.080535168201
0,PEDRA BRANCA,3834290.93,4.7,4.2,456,8408.532741228071
0,PIANCO,8712174.130000003,4.2,3.1,1313,6635.319215536941
0,SANTA INES,2718322.230000001,4.4,3.1,419,6487.642553699287
0,SANTANA DE MANGUEIRA,4734126.3900000015,4.9,4.5,760,6229.113671052633
0,SANTANA DOS GARROTES,4653068.659999998,4.1,3.8,708,6572.130875706213
0,SAO JOSE DE CAIANA,4727778.389999998,5.7,4.2,749,6312.120680907874
0,BELEM DO BREJO DO CRUZ,8608384.610000005,4.8,3.9,722,11922.970373961223
0,BOM SUCESSO,2870912.6,4.9,3.9,455,6309.698021978023
0,BREJO DO CRUZ,10313224.5,5.1,4.7,1522,6776.100197109067
0,BREJO DOS SANTOS,4424321.060000001,4.3,3.6,410,10791.026975609759
0,CATOLE DO ROCHA,14785460.710000005,4.5,3.2,2238,6606.550808757822
0,JERICO,4735741.959999996,4,3.5,489,9684.543885480563
0,MATO GROSSO,1799412.2500000002,4.9,4,313,5748.920926517572
0,RIACHO DOS CAVALOS,8159649.8,5,4.3,762,10708.20183727034
0,SAO BENTO,25689340.78,4.4,3.6,3603,7129.986339161809
0,SAO JOSE DO BREJO DO CRUZ,2668023.559999998,5.1,3.8,315,8469.916063492057
0,CAJAZEIRINHAS,3599611.539999998,5.3,4.4,493,7301.443286004052
0,CONDADO,5299405.4700000025,4.5,3.3,780,6794.1095769230815
0,LAGOA,3017709.430000001,4.7,**,468,6448.097072649575
0,PAULISTA,9263898.620000003,5.2,4.3,1421,6519.281224489799
0,POMBAL,20016541.16,6.2,4.7,2690,7441.093368029738
0,SAO BENTINHO,3269502.29,5.5,4.3,469,6971.220234541578
0,SAO DOMINGOS,2945807.18,4.4,3.9,424,6947.658443396227
0,JURU,11717637.179999998,5,4.6,1170,10015.074512820509
0,MANAIRA,8872002.880000006,4.9,3.8,1242,7143.319549114337
0,PRINCESA ISABEL,9070768.849999994,5.9,3.7,1351,6714.114618800883
0,SAO JOSE DE PRINCESA,2178999.79,**,,271,8040.58963099631
0,TAVARES,14383800.179999994,5.4,4.4,1644,8749.270182481749
